Geneid,SRR085474,SRR085473,SRR085726,SRR085471,SRR087416,SRR085725
A1BG,48,34,68,53,44,40
A1BG-AS1,11,3,17,16,13,10
A1CF,0,0,1,1,0,0
A2M,1173,438,439,1419,475,1068
A2M-AS1,21,1,3,15,8,19
A2ML1,55,47,28,50,31,21
A2ML1-AS1,0,5,0,0,2,0
A2MP1,1,0,3,0,3,1
A3GALT2,0,1,1,1,2,0
A4GALT,42,120,94,32,59,46
A4GNT,0,0,0,1,0,0
AA06,0,0,0,0,0,0
AAAS,0,0,0,0,0,0
AAAS_1,0,0,0,0,0,0
AACS,667,123,474,646,475,437
AACSP1,5,0,1,7,3,3
AADAC,0,0,0,0,0,0
AADACL2,0,0,0,1,0,0
AADACL2-AS1,0,0,0,0,0,0
AADACL2-AS1_1,0,0,0,0,0,0
AADACL2_1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0,0,1,0,0
AADAT,95,22,61,86,56,42
AAGAB,377,84,238,424,218,263
AAK1,1837,323,1066,1478,1226,1781
AAMDC,65,51,53,51,48,69
AAMP,665,256,580,643,456,578
AANAT,6,5,10,6,13,4
AAR2,201,81,171,202,147,173
AARD,9,2,1,15,3,4
AARS1,1863,650,1652,1696,1460,1695
AARS2,249,63,212,246,140,211
AARSD1,3,0,1,4,1,2
AASDH,89,19,59,81,55,92
AASDHPPT,527,37,376,558,429,592
AASS,173,79,119,148,108,149
AATBC,12,3,10,13,18,9
AATF,0,0,0,0,0,0
AATF_1,0,0,0,0,0,0
AATK,1891,1032,2119,1833,1375,1602
ABALON,12,2,7,16,4,9
ABAT,2184,406,1119,1991,943,1877
ABCA1,94,30,57,139,55,131
ABCA10,17,7,10,14,19,30
ABCA11P,45,5,18,42,10,49
ABCA12,2,0,2,1,0,1
ABCA13,1,0,0,0,0,4
ABCA15P,0,0,0,0,0,0
ABCA15P_1,0,0,0,0,0,0
ABCA17P,19,10,54,15,37,20
ABCA2,5236,2280,4548,4884,3393,4817
ABCA3,1749,485,950,1622,754,1485
ABCA4,15,6,3,16,8,11
ABCA5,190,20,110,195,123,399
ABCA6,22,5,15,14,11,34
ABCA7,148,264,248,172,241,262
ABCA8,301,24,287,256,183,244
ABCA9,52,15,64,41,51,53
ABCA9-AS1,0,0,0,0,0,0
ABCB1,118,30,112,216,87,208
ABCB10,82,19,47,98,54,112
ABCB11,0,0,0,0,1,0
ABCB11_1,0,0,0,0,0,0
ABCB4,11,5,2,8,5,8
ABCB5,1,0,0,0,0,0
ABCB6,333,181,359,349,358,347
ABCB7,105,24,94,103,89,146
ABCB8,448,116,325,459,271,379
ABCB9,403,184,188,398,240,299
ABCC1,3,0,3,6,0,1
ABCC10,187,105,218,202,236,215
ABCC11,7,1,2,7,3,10
ABCC12,79,15,27,66,33,36
ABCC13,0,0,0,0,0,0
ABCC1_1,3,2,2,1,6,2
ABCC2,5,6,12,4,12,7
ABCC3,10,8,7,13,9,11
ABCC4,40,7,11,49,14,44
ABCC5,777,263,874,714,800,829
ABCC5-AS1,0,0,0,0,2,2
ABCC6,0,0,0,0,0,0
ABCC6P1,5,1,0,2,0,2
ABCC6P1_1,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0
ABCC6P2_1,0,0,0,0,0,0
ABCC6_1,0,0,0,0,1,0
ABCC8,466,162,374,394,359,582
ABCC9,80,12,36,98,40,112
ABCD1,47,34,32,43,23,25
ABCD2,86,10,22,124,29,239
ABCD3,262,55,124,293,138,320
ABCD4,196,91,295,228,283,220
ABCE1,125,30,70,181,116,168
ABCF1,0,0,0,0,0,0
ABCF1-DT,0,0,0,0,0,0
ABCF1_1,0,0,0,0,0,0
ABCF1_2,0,0,0,0,0,0
ABCF1_3,0,0,0,0,0,0
ABCF1_4,0,0,0,0,0,0
ABCF1_5,0,0,0,0,0,0
ABCF1_6,0,0,0,0,0,0
ABCF2,198,99,230,183,229,190
ABCF2-H2BK1,0,0,0,0,0,0
ABCF3,508,152,354,483,330,442
ABCG1,273,66,191,295,159,254
ABCG2,180,56,90,282,87,212
ABCG4,296,35,166,277,166,341
ABCG5,2,1,5,4,9,2
ABCG8,22,6,15,20,21,13
ABHD1,7,15,9,11,6,14
ABHD10,312,93,210,313,231,358
ABHD11,92,42,53,84,48,54
ABHD12,856,372,725,851,691,722
ABHD12B,41,4,29,40,39,27
ABHD13,99,13,85,132,116,153
ABHD14A,271,150,288,271,293,230
ABHD14A-ACY1,0,0,0,0,0,0
ABHD14B,128,117,85,138,71,129
ABHD15,36,18,29,44,27,28
ABHD16A,0,0,0,0,0,0
ABHD16A_1,0,0,0,0,0,0
ABHD16A_2,0,0,0,0,0,0
ABHD16A_3,0,0,0,0,0,0
ABHD16A_4,0,0,0,0,0,0
ABHD16A_5,0,0,0,0,0,0
ABHD16A_6,0,0,0,0,0,0
ABHD16B,0,0,0,0,0,0
ABHD17A,84,62,91,51,84,81
ABHD17B,341,36,195,294,159,285
ABHD17C,193,56,115,191,126,150
ABHD18,76,14,39,82,48,100
ABHD2,1166,204,511,1039,450,1191
ABHD3,77,8,72,66,78,78
ABHD4,213,106,266,202,193,178
ABHD5,106,28,71,119,72,136
ABHD6,437,49,350,433,303,399
ABHD8,658,287,712,627,607,477
ABI1,514,86,279,535,295,503
ABI2,1668,261,802,1659,699,1339
ABI3,36,34,58,38,55,36
ABI3BP,38,3,11,37,8,43
ABITRAM,123,23,99,121,102,122
ABL1,674,403,689,716,450,590
ABL2,475,111,469,385,465,508
ABLIM1,1484,494,768,1414,695,3246
ABLIM2,963,220,681,779,626,623
ABLIM3,439,128,269,446,242,666
ABO,4,1,2,4,4,2
ABO_1,3,3,2,4,6,5
ABR,20,2,1,3,4,7
ABR-AS1,0,0,0,0,0,0
ABR-AS1_1,0,0,0,0,0,0
ABRA,4,0,1,3,3,3
ABRACL,74,10,72,83,65,43
ABRAXAS1,18,2,6,10,9,13
ABRAXAS2,128,25,89,150,100,154
ABR_1,0,0,0,0,0,0
ABR_2,0,0,0,0,0,0
ABT1,7,3,4,1,2,0
ABT1_1,0,0,0,7,0,3
ABTB1,663,353,691,513,584,627
ABTB2,172,49,125,175,98,183
ABTB3,217,22,85,224,116,209
ACAA1,308,130,317,349,230,259
ACAA2,153,76,82,188,91,124
ACACA,1,0,2,0,1,3
ACACA_1,2,1,0,2,0,1
ACACB,284,275,237,302,182,260
ACAD10,159,65,97,148,90,119
ACAD11,0,0,0,0,0,0
ACAD8,295,34,231,284,208,295
ACAD9,328,64,180,312,160,210
ACAD9-DT,4,0,10,3,0,1
ACADL,15,2,3,10,4,11
ACADM,188,52,129,201,155,245
ACADS,127,143,95,132,61,84
