Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(pvalue),Significant,Regulation
A4GALT,84.57431051706999,-2.1365200591187192,0.5418854704725203,-3.9427520676199137,8.055191673166802e-05,0.0022062833852765596,4.093924121091034,True,Downregulated
ABCA17P,25.114121628188567,-1.4233495350658276,0.46343211889482333,-3.071322588646168,0.0021311276840321235,0.020518918242748315,2.671390529258412,True,Downregulated
ABCA7,252.14474262259978,-1.2183568574726817,0.4301166704574487,-2.832619475494646,0.004616830935646166,0.03391893267972456,2.335656028645804,True,Downregulated
ABI3,44.87504733379123,-1.0885595920411648,0.33992432341874074,-3.2023586341016457,0.0013630718379224324,0.0154707697733342,2.8654812549568494,True,Downregulated
ACSM1,7.071452327488587,-3.29605146676787,0.9056001623813041,-3.639632150794672,0.0002730277912977839,0.0052233508299700145,3.563793144193774,True,Downregulated
ACVRL1,177.15736503310964,-1.3910728632767047,0.4744393396293886,-2.9320352405079864,0.003367485325802808,0.027864391614579983,2.472694288088051,True,Downregulated
ADA,72.27373717913974,-1.8001972848120729,0.3003064467544243,-5.994534264141805,2.040694371439087e-09,5.79449796521783e-07,8.690222033371393,True,Downregulated
ADARB2-AS1,34.02905709521988,-1.5468390092353719,0.47482059085836364,-3.2577336345903865,0.0011230576811112685,0.01365641515310735,2.9495979374651546,True,Downregulated
ADAT3,28.03555327867917,-1.6547373475182252,0.5978510068846925,-2.7678089163733306,0.005643453330474757,0.03796009043352282,2.2484550620787176,True,Downregulated
ADCY10P1,59.556698853011106,-1.1555061546237024,0.3650766557982765,-3.1651055641919177,0.0015502669479320777,0.016794558602597508,2.8095935121318596,True,Downregulated
ADIRF,41.42831814670019,-1.4191120290680155,0.42919777821138544,-3.3064291128950916,0.0009449325610324219,0.01214752462296247,3.024599185582379,True,Downregulated
ADM,91.21749190162005,-2.158727691370649,0.6145895673905793,-3.5124704451723154,0.00044396137898939167,0.007199914748440184,3.3526548083117853,True,Downregulated
ADRA2B,23.15561124149906,-2.346107277681405,0.5889596701167551,-3.9834769623806565,6.791425794423056e-05,0.0019523841293559,4.16803904020453,True,Downregulated
AEBP1,493.72780004840484,-1.0002735825037319,0.3247807876413458,-3.079842221481186,0.002071102801214249,0.020135961905885222,2.683798343939942,True,Downregulated
AFG3L1P,148.72316974477482,-1.1918824796602492,0.2765557174791293,-4.309737258461114,1.634486193850729e-05,0.0006597047144008491,4.78661874345912,True,Downregulated
AGPAT2,98.56581790353208,-1.3260244797916352,0.42658497755726366,-3.108465017649697,0.0018806190815383419,0.018905478158197556,2.725699161673855,True,Downregulated
AHSA2P,383.2996411067207,-1.2163415308542782,0.19800919380118484,-6.14285381150317,8.105187372469168e-10,2.7329678671544477e-07,9.091236940853861,True,Downregulated
ANAPC16,285.4929010412348,-1.0026430468625906,0.26877072856071893,-3.7304770955966657,0.00019111751816907303,0.004054045912931123,3.7186995029216097,True,Downregulated
ANGPT2,129.0633594280279,-3.0965125961673774,0.5221302370957208,-5.9305368204517555,3.0194586091433383e-09,7.635927748278895e-07,8.520070919340597,True,Downregulated
ANGPTL4,277.5261654679833,-1.7646783047035333,0.5225948849814857,-3.376761532532129,0.0007334460791613858,0.01011109192273806,3.1346318087238245,True,Downregulated
ANKRD19P,118.74197379584456,-1.0090727207265138,0.2674008074763529,-3.7736337831206783,0.0001608868805163244,0.0035524613385494,3.793479368900778,True,Downregulated
ANKRD40,1245.71138647531,-1.0179047415944564,0.33409175483633846,-3.0467819898551447,0.0023130540498313423,0.021681094835175423,2.635814218820716,True,Downregulated
ANKS3,198.05945951660644,-1.0824102278253738,0.31780685196984326,-3.405874420631069,0.0006595250844662522,0.00938273180363812,3.180768681788428,True,Downregulated
ANP32B,347.7570665050907,-1.442186839710989,0.32904659224570404,-4.38292592507412,1.1709593594725049e-05,0.0005040419476878322,4.931458177739864,True,Downregulated
APOL1,93.57409609964327,-1.2823078154184548,0.295835524687663,-4.33452952201156,1.460721855368186e-05,0.0006000452596226927,4.835432472757586,True,Downregulated
APOL3,84.38959488981146,-1.079654122563815,0.28315432232600835,-3.8129529992509195,0.0001373162333894778,0.0031888367094861816,3.8622781178635353,True,Downregulated
ARAP1,571.3760498157346,-1.0150364946328567,0.2143700336991419,-4.734973807287878,2.1908339063676104e-06,0.00014774436156066574,5.65939054634723,True,Downregulated
ARID5A,184.57914953019747,-1.2733567112082738,0.2967682522615966,-4.290744382205108,1.7807519807365778e-05,0.0007012523311002802,4.749396563915872,True,Downregulated
